Title,Price,Image URL
13 Apple Macbook Pro Core i7 4.0GHz Turbo 512GB SSD 16GB A1706 TouchBar Warranty,US $549.00,https://i.ebayimg.com/thumbs/images/g/lhAAAOSwF0tjNKee/s-l300.webp
"Apple MacBook Pro 15.4"" (1TB SSD, Intel Core i7 7th Gen., 2.90 GHz, 16GB) Laptop",US $100.00,https://i.ebayimg.com/thumbs/images/g/2P4AAOSwUYtmcmUd/s-l300.webp
Apple 13.3 MacBook Pro 1.4GHz 8GB RAM 512GB SSD Space Gray MXK52LL/A Very Good,US $554.95,https://i.ebayimg.com/thumbs/images/g/ar4AAOSwrvhk7hzW/s-l300.webp
"2017 MacBook Pro A1706 13.3"" I7-7567U 3.50 GHZ 16 GB RAM 256 GB",US $100.00,https://i.ebayimg.com/thumbs/images/g/gVoAAOSwVKtmcfjh/s-l300.webp
"Apple MacBook Pro 15"" 1TB SSD 16GB i7 3.40Ghz Retina - Big Sur - 3 Year Warranty",US $495.00,https://i.ebayimg.com/thumbs/images/g/tLEAAOSwzOJjKIz4/s-l300.webp
"Apple MacBook Pro (13-inch, 2017) Intel Core i5 | 8GB Ram | 256GB SSD",US $210.00,https://i.ebayimg.com/thumbs/images/g/1O8AAOSwdsVmcPZK/s-l300.webp
"Apple MacBook Pro 2017 15"" Touch ID 2.8GHz i7 16GB RAM,256GB SSD,Radeon Pro,Good",US $249.00,https://i.ebayimg.com/thumbs/images/g/J-AAAOSwv99mccvp/s-l300.webp
"Apple MacBook Pro 2020 13"" 2.3 GHz i7 | 16GB RAM 512GB SSD | Gray *",US $500.00,https://i.ebayimg.com/thumbs/images/g/J~UAAOSwlwhl6gRc/s-l300.webp
"2015 Apple MacBook Pro 15"" A1398 i7 2.5GHz 16GB RAM 512GB SSD Monterey-Read",US $159.99,https://i.ebayimg.com/thumbs/images/g/jsIAAOSwWq9mcHHb/s-l300.webp
"MACBOOK PRO 15"" | 16GB RAM | QUAD CORE i7 | 3 YEAR WARRANTY | APPLE LAPTOP",US $299.00,https://i.ebayimg.com/thumbs/images/g/IX4AAOSwoQ9hyylj/s-l300.webp
APPLE MACBOOK PRO A2251 2020 i5 2GHz 16GB 512GB Grade D,US $427.49,https://i.ebayimg.com/thumbs/images/g/qYMAAOSwNrhkW7oC/s-l300.webp
APPLE MACBOOK PRO A2251 2020 i7 2.3GHz 16GB 512GB  Grade A One Year Warranty!,US $549.95/ea,https://i.ebayimg.com/thumbs/images/g/4RMAAOSwMrlmZ5JG/s-l300.webp
Apple A2251 MacBook Pro 13 Inch 2.00 GHz Core i5 16GB RAM 512GB 2020 LPDDR4X,US $439.99,https://i.ebayimg.com/thumbs/images/g/fPYAAOSwMshmQjDV/s-l300.webp
"Apple MacBook Pro A1990 15.4"" I7-8750H 2.20 GHZ 32 GB RAM 256 GB",US $100.00,https://i.ebayimg.com/thumbs/images/g/wXUAAOSwikFmchbH/s-l300.webp
"Apple MacBook Pro (13-inch, M1, 2020) - 8GB RAM - 256GB SSD - A2338 - Good",US $559.99,https://i.ebayimg.com/thumbs/images/g/RXUAAOSw6~1mX0cH/s-l300.webp
"Apple MacBook Pro 2017 13"" i5 8GB 256GB A1708 Gray  Service Battery#976",US $179.99,https://i.ebayimg.com/thumbs/images/g/ejoAAOSwyWVmXkGY/s-l300.webp
"MacBook Pro 14,3 A1707 15"" Intel Core i7 2.8GHz, 16GB RAM, 500GB SSD #2435",US $199.99,https://i.ebayimg.com/thumbs/images/g/NAMAAOSwv5VmaeDK/s-l300.webp
"2018 MacBook Pro A1989 13.3"" I7-8559U 2.70 GHZ 16 GB RAM 512 GB",US $110.00,https://i.ebayimg.com/thumbs/images/g/OmkAAOSwBC1mcgP0/s-l300.webp
MONTEREY 2015 MACBOOK PRO 13 - 2.7GHz i5 - 16GB RAM - 256 GB SSD,US $289.99,https://i.ebayimg.com/thumbs/images/g/CDIAAOSw0RxmRmyC/s-l300.webp
Apple MacBook Pro 15 Retina Laptop i7 16GB RAM 1TB SSD - BIG SUR - WARRANTY,US $399.99,https://i.ebayimg.com/thumbs/images/g/puoAAOSwKf9mM-oZ/s-l300.webp
